t_sec,xVest_m,yVest_m,zVest_m,omegaXVest_degPSec,omegaYVest_degPSec,omegaZVest_degPSec,xVis_m,yVis_m,zVis_m,xVisDot_mPSec,yVisDot_mPSec,zVisDot_mPSec,omegaXVis_degPSec,omegaYVis_degPSec,omegaZVis_degPSec,g_xvis,g_yvis,g_zvis,g,Pos ON,Vel ON,AngVel ON,G ON,Sickness,thetaXVest_deg,thetaYVest_deg,thetaZVest_deg,thetaXVis_deg,thetaYVis_deg,thetaZVis_deg
0.4442107,-0.3285429,-0.556594,1.07073,-18.47628,10.7069,12.24728,0.2704786,0.417063,-1.59073,-0.02873301,0.02099628,0.01100288,18.47628,-10.7069,-12.24728,0, 0, -1, 1, 1, 1, 1, 1,0,6.231995,-0.3582153,-113.7479,6.231995,-0.3582153,-113.7479
0.4551811,-0.3282411,-0.5568732,1.070552,-18.61866,11.3025,13.62253,0.2701767,0.4173422,-1.590552,-0.02692938,0.02490861,0.01584707,18.61866,-11.3025,-13.62253,0, 0, -1, 1, 1, 1, 1, 1,0,6.02774,-0.2342224,-113.5985,6.02774,-0.2342224,-113.5985
0.4661517,-0.3280132,-0.5570939,1.070445,-14.81287,9.958701,13.85456,0.2699488,0.4175629,-1.590445,-0.02031928,0.01967376,0.009542014,14.81287,-9.958701,-13.85456,0, 0, -1, 1, 1, 1, 1, 1,0,5.865234,-0.1249695,-113.4465,5.865234,-0.1249695,-113.4465
0.4781198,-0.3276499,-0.5573176,1.070398,-12.89234,10.69128,12.50348,0.2695855,0.4177865,-1.590398,-0.03226093,0.01985939,0.00421324,12.89234,-10.69128,-12.50348,0, 0, -1, 1, 1, 1, 1, 1,0,5.710938,0.002984793,-113.2968,5.710938,0.002984793,-113.2968
0.4890906,-0.3273311,-0.557456,1.070232,-10.83754,11.77315,14.74306,0.2692667,0.417925,-1.590232,-0.02882288,0.01251857,0.01502443,10.83754,-11.77315,-14.74306,0, 0, -1, 1, 1, 1, 1, 1,0,5.592041,0.1321457,-113.1351,5.592041,0.1321457,-113.1351
0.5000613,-0.3270406,-0.5575496,1.070161,-9.480152,12.81217,13.32381,0.2689762,0.4180186,-1.59016,-0.02627183,0.008464349,0.006437218,9.480152,-12.81217,-13.32381,0, 0, -1, 1, 1, 1, 1, 1,0,5.488037,0.2727042,-112.9889,5.488037,0.2727042,-112.9889
0.5110317,-0.3267093,-0.5575994,1.07002,-8.921268,11.84857,15.22137,0.2686449,0.4180683,-1.59002,-0.02933738,0.004406676,0.01240202,8.921268,-11.84857,-15.22137,0, 0, -1, 1, 1, 1, 1, 1,0,5.390167,0.4026878,-112.8219,5.390167,0.4026878,-112.8219
0.5230001,-0.326312,-0.5576494,1.06983,-10.54616,9.617461,16.24826,0.2682477,0.4181184,-1.58983,-0.03504655,0.004412042,0.0168173,10.54616,-9.617461,-16.24826,0, 0, -1, 1, 1, 1, 1, 1,0,5.263947,0.5177934,-112.6275,5.263947,0.5177934,-112.6275
0.5449413,-0.3255599,-0.557691,1.069763,-10.97822,4.714869,21.16294,0.2674955,0.41816,-1.589763,-0.03647023,0.003822417,-0.0006077483,10.97822,-4.714869,-21.16294,0, 0, -1, 1, 1, 1, 1, 1,0,5.023071,0.6212433,-112.1631,5.023071,0.6212433,-112.1631
0.5559118,-0.3251573,-0.5576742,1.069829,-10.37884,-1.755839,28.74349,0.2670929,0.4181432,-1.589829,-0.03613092,-0.001508464,-0.005905475,10.37884,1.755839,-28.74349,0, 0, -1, 1, 1, 1, 1, 1,0,4.90921,0.6019809,-111.8478,4.90921,0.6019809,-111.8478
